Id,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1884,IN,33,Orlim,,15.2167,73.9333,,
1885,IN,21,Varanasi,,18.8667,83.8833,,
1886,IN,25,Attur,,11.6,78.6167,,
1887,IN,39,Kol,,30.4978,77.9217,,
1888,IN,19,Kanakapura,,12.55,77.4167,,
1889,IN,33,Merces,,15.4833,73.85,,
1890,IN,19,Balehonnur,,13.35,75.4667,,
1891,IN,2,Srisailam,,16.0833,78.8667,,
1892,IN,24,Jhalrapatan,,24.55,76.1667,,
1893,IN,23,Kot Kapura,,30.5833,74.9,,
1894,IN,16,Kopargaon,,19.8833,74.4833,,
1895,IN,2,Gudur,,17.4833,78.8167,,
1896,IN,9,Valasan,,22.55,72.8833,,
1897,IN,28,Bagula,,23.3167,88.65,,
1898,IN,3,Abhayapuri,,26.3333,90.6667,,
1899,IN,12,Kathua,,32.3667,75.5167,,
1900,IN,7,Darya Ganj,,28.6333,77.25,,
1901,IN,24,Chittaurgarh,,24.8833,74.6333,,
1902,IN,13,Tirurangadi,,11.05,75.9333,,
1903,IN,16,Islampur,,17.05,74.2667,,
1904,IN,16,Nandura,,20.8333,76.45,,
1905,IN,16,Pusad,,19.9,77.5833,,
1906,IN,36,Amroha,,28.9167,78.4667,,
1907,IN,2,Dharmajigudem,,16.8833,80.9833,,
1908,IN,2,Koyyalagudem,,17.1167,81.3,,
1909,IN,16,Majalgaon,,19.15,76.2333,,
1910,IN,7,Tughlakabad,,28.5,77.2667,,
1911,IN,19,Bhatkal,,13.9667,74.5667,,
1912,IN,23,Qadian,,31.8178,75.3919,,
1913,IN,16,Ballarpur,,19.8333,79.35,,
1914,IN,16,Mudkhed,,19.1667,77.5167,,
1915,IN,13,Pandikkad,,11.1,76.2167,,
1916,IN,16,Panchgani,,17.9167,73.8167,,
1917,IN,25,Ashok Nagar,,13.0392,80.2147,,
1918,IN,21,Nimaparha,,20.0667,86.0167,,
1919,IN,11,Sundarnagar,,31.5333,76.8833,,
1920,IN,25,Devakottai,,9.95,78.8167,,
1921,IN,3,Badarpur,,24.9,92.6,,
1922,IN,24,Anta,,25.15,76.3,,
1923,IN,11,Manali,,32.2667,77.1667,,
1924,IN,16,Kurla,,18.75,77.1333,,
1925,IN,39,Khairi,,30.3828,77.8769,,
1926,IN,13,Nileshwar,,12.25,75.1,,
1927,IN,34,Kishanganj,,25.7,86.95,,
1928,IN,19,Sankeshwar,,16.2667,74.4833,,
1929,IN,31,Serchhip,,23.3,92.8333,,
1930,IN,28,Dantan,,21.95,87.2667,,
1931,IN,34,Dhaka,,26.6833,85.1667,,
1932,IN,16,Byculla,,18.9667,72.8333,,
1933,IN,36,Tundla,,27.2,78.2833,,
1934,IN,36,Balrampur,,27.4333,82.1833,,
1935,IN,28,Belgharia,,22.65,88.3833,,
1936,IN,25,Bagalur,,12.8333,77.8667,,
1937,IN,35,Sanawad,,22.1833,76.0667,,
1938,IN,16,Mehkar,,20.15,76.5667,,
1939,IN,28,Singtam,,27.2333,88.5,,
1940,IN,28,Chinsura,,22.8789,88.3925,,
1941,IN,24,Abu Road,,24.4833,72.7833,,
1942,IN,28,Haripal,,22.8219,88.1094,,
1943,IN,36,Sambhal,,28.5833,78.55,,
1944,IN,12,Kulgam,,33.65,75.0167,,
1945,IN,33,Mardol,,15.4333,73.95,,
1946,IN,34,Purnia,,25.7833,87.4667,,
1947,IN,3,Dhupdhara,,25.9667,91.0667,,
1948,IN,23,Dasuya,,31.8183,75.6597,,
1949,IN,2,Palakollu,,16.5333,81.7333,,
1950,IN,33,Mandrem,,15.65,73.7,,
1951,IN,38,Asansol,,24.2333,87.2833,,
1952,IN,28,Dakshin,,22.0997,88.0219,,
1953,IN,36,Hasanpur,,28.7167,78.2833,,
1954,IN,28,Amta,,22.58,88.0083,,
1955,IN,23,Sultanpur,,31.2153,75.1997,,
1956,IN,7,Jharoda Kalan,,28.6528,76.9539,,
1957,IN,28,Dinhata,,26.1333,89.4667,,
1958,IN,2,Tadepalle,,16.4667,80.6,,
1959,IN,33,Bastora,,15.5833,73.8167,,
1960,IN,12,Jaura,,33.0833,75.8,,
1961,IN,23,Khem Karan,,31.1428,74.5667,,
1962,IN,7,Delhi Paharganj,,28.6167,77.2167,,
1963,IN,16,Borivli,,19.2333,72.85,,
1964,IN,7,Delhi Sabzimandi,,28.6833,77.2,,
1965,IN,35,Kasrawad,,22.1333,75.6,,
1966,IN,34,Sonpur,,25.7,85.1833,,
1967,IN,16,Bombay Bandra,,19.05,72.8333,,
1968,IN,24,Makrana,,27.05,74.7167,,
1969,IN,24,Udaipur City,,24.5833,73.6833,,
1970,IN,28,Medinipur,,22.4333,87.3333,,
1971,IN,35,Mandla,,22.6,80.3833,,
